First Name,Last Name,Mobile,Email,SPSV,Device Type,Progress
test,test,9874563210,priyalshah.coderkube@gmail.com,1234567,Android,
test,test,9874563210,test.final1@yopmail.com,1234567,Android,
jaya,test,9874563210,test.final@yopmail.com,1234567,Android,
test,test,9874563210,test.final123@yopmail.com,1234567,Android,
Darshika,Devkar1,90339949158,darshika@yopmail.com,235,Android,
test,test,9874563210,test.final124@yopmail.com,1234567,Android,
test,test,9874563210,test.final1234@yopmail.com,1234567,Android,
dhruvin,test,,dhruvin@gmail.com,,Desktop,
hina,test,,test2@gmail.com,,Desktop,
test,test,9874563210,priyalshah.coderkube@gmail.com,1234567,Android,
